,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
63,SV1W2G,S&P 500,"2.800,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,820 EUR","9,920 EUR","1,01 %",,Europäisch,Société Générale,
64,SV1YNQ,EURO STOXX 50,"3.600,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,820 EUR","9,920 EUR","1,01 %",,Europäisch,Société Générale,
65,SV23ZD,Prosus,"50,000 EUR","100,000 EUR",15.09.2023,"9,800 EUR","9,900 EUR","1,010 %",,Europäisch,Société Générale,
66,SV287U,EURO STOXX 50,"3.600,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,820 EUR","9,920 EUR","1,01 %",,Europäisch,Société Générale,
67,SV433Q,S&P 500,"2.800,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,810 EUR","9,910 EUR","1,01 %",,Europäisch,Société Générale,
68,SV1W16,S&P 500,"2.400,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,810 EUR","9,910 EUR","1,01 %",,Europäisch,Société Générale,
69,SV1YNS,EURO STOXX 50,"3.600,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,810 EUR","9,910 EUR","1,01 %",,Europäisch,Société Générale,
70,SV1YNR,EURO STOXX 50,"3.600,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,820 EUR","9,920 EUR","1,01 %",,Europäisch,Société Générale,
71,SV6GH1,EURO STOXX 50,"3.200,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,770 EUR","9,870 EUR","1,01 %",,Europäisch,Société Générale,
72,SV6GL7,S&P 500,"3.200,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,780 EUR","9,880 EUR","1,01 %",,Europäisch,Société Générale,
73,SV1W2B,S&P 500,"2.600,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,800 EUR","9,900 EUR","1,01 %",,Europäisch,Société Générale,
74,SV1W3T,EURO STOXX 50,"2.800,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,800 EUR","9,900 EUR","1,01 %",,Europäisch,Société Générale,
75,SV1W3N,EURO STOXX 50,"2.600,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,790 EUR","9,890 EUR","1,01 %",,Europäisch,Société Générale,
76,SV6GMC,S&P 500,"3.400,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,750 EUR","9,850 EUR","1,02 %",,Europäisch,Société Générale,
77,SV1W2F,S&P 500,"2.800,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,780 EUR","9,880 EUR","1,01 %",,Europäisch,Société Générale,
78,SV1W3S,EURO STOXX 50,"2.800,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,760 EUR","9,860 EUR","1,01 %",,Europäisch,Société Générale,
